date,source,title,address,borough,developers,url
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,14 STREET,BROOKLYN,MANCAT BROOKLYN LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,LIBERTY AVENUE,QUEENS,THE SERVICE INC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,45 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST END AVENUE,MANHATTAN,MOISE OHAYON,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,EAST   34 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,73 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,BLEECKER STREET,MANHATTAN,TARGO MANAGEMENT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,EAST   73 STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,154 STREET,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,EAST   71 STREET,MANHATTAN,207 EAST 71 HOLDER LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,REEDER STREET,QUEENS,PITTI ADULT DAYCARE INC.,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,74 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,186 STREET,QUEENS,KATARIA LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,CROPSEY AVENUE,BROOKLYN,W&L GROUP DEVELOPMENT INC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,CABRINI BOULEVARD,MANHATTAN,CASTLE VILLAGE OWNERS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,EAST   93 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,154 STREET,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,ST MARKS PLACE,MANHATTAN,SUNNYSIDE FIVE LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,AMBOY ROAD,STATEN ISLAND,OAKWOOD CENTER LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,43 AVENUE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,84 DRIVE,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,MERRICK BOULEVARD,QUEENS,21 EAST 21ST STREET LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,CORNISH AVENUE,QUEENS,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,DITMARS BOULEVARD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,BEDFORD AVENUE,BROOKLYN,Kai LEONG,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,OXFORD PLACE,STATEN ISLAND,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST   46 STREET,MANHATTAN,"URBAN PATHWAYS, INC.",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,PROSPECT PARK WEST,BROOKLYN,Peter Geismar,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,OLIVER PLACE,BRONX,TOTAL MANAGEMENT NYC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,MALCOLM X BOULEVARD,BROOKLYN,JAVIER URENA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,68 AVENUE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,BOWERY,MANHATTAN,MGT Property Management,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,EAST   93 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,PROSPECT PARK WEST,BROOKLYN,Peter Geismar,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,72 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,DELANCEY STREET,MANHATTAN,WILLIAM GOTTLIEB MANAGEMENT CO. LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,QUEENS BOULEVARD,QUEENS,SHAIFUL ISLAM,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,22 AVENUE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,VAN STREET,STATEN ISLAND,HOMEOWNER,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,VLEIGH PLACE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,31 STREET,QUEENS,2468 LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,EAST   88 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,BALTIC STREET,BROOKLYN,GOLDIN CHOICE MANAGEMENT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Earth Work,BEACH   48 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,MCDONALD AVENUE,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,BEACH   48 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,98 STREET,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,162 STREET,QUEENS,KFOOD INTERNATIONAL INC.,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,65 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,BEACH   48 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
